MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
437	I wish I didn't love you so		"Loesser, Frank, 1910-1969"	http://id.loc.gov/authorities/names/n81133632								Famous Music	"New York, NY"	1947	English	First line of text|After all this time without you.	For voice and piano with chord symbols.|Cover portrait of Betty Hutton and John Lund.				"Songs with piano|Motion picture music, Arranged|Popular music--1941-1950"	Sheet music 22				Perils of Pauline		"For voice and piano with chord symbols.<br>First line of text: ""After all this time without you.""<br>Cover portrait of Betty Hutton and John Lund.<br>"			0	44	N	
439	Drinking song		"Romberg, Sigmund, 1887-1951"	http://id.loc.gov/authorities/names/n84212849	"Donnelly, Dorothy, 1880-1928"	http://id.loc.gov/authorities/names/n85244153						Harms	"New York, NY"	1925			For voice and piano.|Pl. no.: S-1092-3				Songs with piano|Musicals--Excerpts--Vocal scores	Sheet music 24				The student prince		"For voice and piano.<BR>Pl. no.: S-1092-3<br>"	439_1.jpg		6	116	N	
446	Oklahoma		"Rodgers, Richard, 1902-1979"	http://id.loc.gov/authorities/names/n50048058	"Hammerstein, Oscar, 1895-1960"	http://id.loc.gov/authorities/names/n50020012						Williamson Music	"New York, NY"	1943	English	First line of text|Brand new state.	For voice and piano with chord symbols and tablature for guitar.|Pl. no: C-521-4				Songs with piano|Musicals--Excerpts--Vocal scores with piano	Sheet music 32				Green grow the lilacs	great state	"For voice and piano with chord symbols and tablature for guitar.<br>First line of text: ""Brand new state.""<br>Pl. no: C-521-4<br>"			0	98	N	
464	One alone		"Romberg, Sigmund, 1887-1951"	http://id.loc.gov/authorities/names/n84212849	"Harbach, Otto, 1873-1963"	http://id.loc.gov/authorities/names/no89000988						Harms	"New York, NY"	1926	English	"First line of text|Lonely as a desert breeze, I may wander where I please."	For voice and piano.|Simplified edition.|Pl. no.: 7883-3				Musicals--Excerpts--Vocal scores with piano|Songs (Medium voice) with piano	Sheet music 51				The desert song	loneliness	"For voice and piano.<br>Simplified edition.<br>First line of text: ""Lonely as a desert breeze, I may wander where I please.""<br>Pl. no.: 7883-3<br>"	464_1.jpg		7	75	N	
					"Hammerstein, Oscar, 1895-1960"	http://id.loc.gov/authorities/names/n50020012																												
465	The desert song		"Romberg, Sigmund, 1887-1951"	http://id.loc.gov/authorities/names/n84212849	"Harbach, Otto, 1873-1963"	http://id.loc.gov/authorities/names/no89000988						Harms	"New York, NY"	1926	English	"First line of text|My desert is waiting, dear. :: First line of refrain|Blue heaven and you and I."	For voice and piano.|Second copy in folder.|Pl. no.: 7897-3	Laurence Conger			Musicals--Excerpts--Vocal scores with piano|Songs with piano	Sheet music 52				The desert song	love	"For voice and piano.<BR>First line of text: ""My desert is waiting, dear.""<br>First line of refrain: ""Blue heaven and you and I.""<br>Pl. no.: 7897-3<br>Second copy in folder.<br>"	465_1.jpg		7	115	N	
					"Hammerstein, Oscar, 1895-1960"	http://id.loc.gov/authorities/names/n50020012																												
467	(I love you) sweetheart of all my dreams	"Additional title|I love you, I love you, I love you."	"Fitch, Art"	http://id.loc.gov/authorities/names/no2004089009			"Bleyer, Archie"	http://id.loc.gov/authorities/names/n93005887				Shapiro & Bernstein	"New York, NY"	1928	English	"First line of text|Dear little girl, I wonder why you are sad and blue."	"For voice and piano with tablature for ukulele.|Additional title: I love you, I love you, I love you.|Ukulele arrangement by A.J. Franchini."				Songs with piano|Popular music--1921-1930|Dance orchestra music	Sheet music 54						"For voice and piano with tablature for ukulele.<br>Additional title: I love you, I love you, I love you.<br> Ukulele arrangement by A.J. Franchini.<br>First line of text: ""Dear little girl, I wonder why you are sad and blue."""			0	76	N	
			"Fitch, Kay"	http://id.loc.gov/authorities/names/no2004089008																														
			"Lowe, Bert"	http://id.loc.gov/authorities/names/no2004089007																														
469	A perfect day		"Jacobs-Bond, Carrie, 1862-1946"	http://id.loc.gov/authorities/names/n85049048	"Jacobs-Bond, Carrie, 1862-1946"	http://id.loc.gov/authorities/names/n85049048						Carrie Jacobs-Bond & Son	"Chicago, IL"	1910			"For soprano voice and piano with cello obbligato.|Sung by Mr. David Bispham.|Includes excerpts from the composer's works ""Were I"" on p. [2], ""The Hand of You"" on p. [7] and ""Lazy River"" on p. [8].Pl. no.: B.112-4"				Songs with piano|Popular music--1901-1910	Sheet music 56					end	"For soprano voice and piano with cello obbligato.<br>Sung by Mr. David Bispham.<br>Includes excerpts from the composer's works ""Were I"" on p. [2], ""The Hand of You"" on p. [7] and ""Lazy River"" on p. [8].Pl. no.: B.112-4<br>"	469_1.jpg		8	232	N	
470	What is a youth		"Rota, Nino, 1911-1979"	http://id.loc.gov/authorities/names/n83187920	"Walter, Eugene, 1923-"	http://id.loc.gov/authorities/names/n83162950						Famous Music	"New York, NY"	1969							Songs with piano|Motion picture music--Excerpts--Vocal scores with piano	Sheet music 57				Romeo & Juliet	love	"For voice and piano.<br>"			0	150	N	
471	It's all in the game		"Dawes, Charles Gates, 1865-1951"	http://id.loc.gov/authorities/names/n79032944	"Sigman, Carl, 1909-"	http://id.loc.gov/authorities/names/n82140352						Remick Music	"New York, NY"	1951			For voice and piano with chord symbols and tablature for ukulele.|Pl. no.: 3629-2				Songs with piano|Popular music--1951-1960	Sheet music 58					love	"For voice and piano with chord symbols and tablature for ukulele.<br>Pl. no.: 3629-2<br>"			0	69	N	
477	Say it isn't so		"Berlin, Irving, 1888-1989"	http://id.loc.gov/authorities/names/n50026116								Irving Berlin	"New York, NY"	1932	English	First line of text|You can't stop people from talking.	For voice and piano with chord symbols and tablature for ukulele.				Songs with piano|Popular music--1931-1940	Sheet music 64					"love, untrue"	"For voice and piano with chord symbols and tablature for ukulele.<br>First line of text: ""You can't stop people from talking.""<br>"			0	108	N	
478	Where the morning glories twine around the door		"Von Tilzer, Harry, 1872-1946"	http://id.loc.gov/authorities/names/n92049039	"Sterling, Andrew, 1874"	http://id.loc.gov/authorities/names/n92049035						Calumet Music	"Chicago, IL"	1941	English	"First line of text|Down in New England, far, far away, back to the homestead on the hill."	For voice and piano with chord symbols and tablature for guitar.|Featured by Bob Strong and his orchestra.	"Mr. and Mrs. William Bagwell, Jr."			Songs with piano|Popular music--1941-1950	Sheet music 65					"love, mother"	"For voice and piano with chord symbols and tablature for guitar.<br>First line of text: ""Down in New England, far, far away, back to the homestead on the hill.""<br>Featured by Bob Strong and his orchestra."			0	75	N	
486	"At dawning (I love you) : op. 29, no. 1"		"Cadman, Charles Wakefield, 1881-1946"	http://id.loc.gov/authorities/names/n81149282	"Eberhart, Nelle Richmond"	http://id.loc.gov/authorities/names/nr91013799						Oliver Ditson	"Boston, MA"	1906	English	"First line of text|When the dawn flames in the sky, I love you."	For medium voice and piano.|Text printed separately on p. 3.|Second copy in folder.|Pl. no.: 5-130-71163	"Mr. and Mrs. William Bagwell, Jr."			Songs with piano	Sheet music 73					"love, yearning"	"For medium voice and piano.<BR>Text printed separately on p. 3.<br>First line of text: ""When the dawn flames in the sky, I love you.""<br> Second copy in folder. <BR>Pl. no.: 5-130-71163<br>"	486_1.jpg		6	100	N	
497	You'll never walk alone		"Rodgers, Richard, 1902-1979"	http://id.loc.gov/authorities/names/n50048058	"Hammerstein, Oscar, 1895-1960"	http://id.loc.gov/authorities/names/n50020012						Williamson Music	"New York, NY"	1945			For voice and piano with chord symbols.|Pl. no.: 597-3				Songs with piano|Musicals--Excerpts--Vocal scores with piano|Motion picture music--Excerpts--Vocal scores with piano	Sheet music 86				Carousel	companion	"For voice and piano with chord symbols.<br>Pl. no.: 597-3<br>"			0	91	N	
507	Be my love		"Brodszky, Nicholas, 1905-1958"	http://id.loc.gov/authorities/names/n82153092	"Cahn, Sammy, 1913-1993"	http://id.loc.gov/authorities/names/n82096094						Miller Music	"New York, NY"	1950			For voice and piano with chord symbols and tablature for ukulele.|Cover portraits of Kathryn Grayson and Mario Lanza.|Pl. no.: SH 3536-2	"Mr. and Mrs. William Bagwell, Jr."			Songs with piano|Popular music--1941-1950	Sheet music 99				The toast of New Orleans	"dreams, love"	"For voice and piano with chord symbols and tablature for ukulele.<br>Cover portraits of Kathryn Grayson and Mario Lanza.<br>Pl. no.: SH 3536-2<br>"			0	116	N	
374	Mammy's little coal black rose : song		"Whiting, Richard A., 1891-1938"	http://id.loc.gov/authorities/names/n85173099	"Egan, Raymond B., 1890-1952"	http://id.loc.gov/authorities/names/no94005844					Starmer	Jerome H. Remick	"New York, NY"	1916	English	First line of text|I heard a pickaninny crying down in Tennessee one night.	Cover title.|For voice and piano.|Popular ed.|Cover design by Starmer.|Cover portrait of Henry Santrey.|Pl. no.: 270-2	Fred and Betsy Miller			Popular music--United States	CSAM 28			CSAM			"Pl. no.: 270-2<br>For voice and piano.<br>Cover title.<br>Popular ed.<br>Cover design by Starmer.<br>Cover portrait of Henry Santrey.<br>First line of text: I heard a pickaninny crying down in Tennessee one night."	374_1.jpg		3	575	N	
375	If they'd only fought with razors in the war		"Jones, Irving"	http://id.loc.gov/authorities/names/n99284704	"Jones, Irving"	http://id.loc.gov/authorities/names/n99284704					G. Hart	F. A. Mills	"New York, NY"	1898	English	First line of text|I quit my job and went to war to serve my country right. :: First line of chorus|If they'd only fought with razors in the war.	Cover title.|For voice and piano.	Fred and Betsy Miller			"Popular music--United States<BR>Spanish-American War, 1898--Songs and music|Songs with piano"	CSAM 41			CSAM			"For voice and piano.<br>Cover title.<br>First line of text: I quit my job and went to war to serve my country right.<br>First line of chorus: If they'd only fought with razors in the war."	375_1.jpg		5	500	N	
386	Marching thro' Georgia (Grand March)		"Mack, Edward, 1826-1882"	http://id.loc.gov/authorities/names/n95090742								S. Brainard's Sons Co.	"Chicago, IL"	1875			"For piano.|Missing back cover.|Plate number: 14,460"	Fred and Betsy Miller			Marches (Piano)--1871-1880	Sheet music Large 423		"Popular Marches Battle Pieces, Etc. for Piano or Organ"				"For piano. <BR>Missing back cover. <BR>Plate number:  14,460 <BR>"			0	114	N	
387	Plantation melodies: Medley of Southern airs	Contents|My old Kentucky home	"Walter, Eugene"	http://id.loc.gov/authorities/names/nb2010000612								McKinley Music Co.	"Chicago, IL"	1905			Includes: My old Kentucky home; Old black Joe; Darling Nellie Gray; Maryland my Maryland; Massa's in the cold cold ground; Dixie	Fred and Betsy Miller				Sheet music Large 375						Includes:  My old Kentucky home; Old black Joe; Darling Nellie Gray; Maryland my Maryland; Massa's in the cold cold ground; Dixie	387_1.jpg		7	104	N	NO SUBJECTS?
		Contents|Old black Joe																																
		Contents|Darling Nellie Gray																																
		Contents|Maryland my Maryland																																
		Contents|Massa's in the cold cold ground																																
		Contents|Dixie																																
392	Holiday for strings		"Rose, David, 1910-"	http://id.loc.gov/authorities/names/n86143623								"Bregman, Vocco and Conn"	"New York, NY"	1943				Dr. David G. Phillips				Sheet music 367		Music for moderns				"For piano <br>"			0	60	N	NO SUBJECTS?
399	Ballerina: Dance ballerina dance		"Sigman, Carl, 1909-"	http://id.loc.gov/authorities/names/n82140352	"Russell, Bob, 1914-1970"	http://id.loc.gov/authorities/names/n87860169						Jefferson Music	"New York, NY"	1947	English	First line of chorus|Dance ballerina dance.	"For voice and piano, with chord symbols.|Cover portraits: Vaughn Monroe.|Copy 2 in folder."	Louis and Mary Racz			Love songs	Sheet music 203						"For voice and piano, with chord symbols.<br>First line of chorus: ""Dance ballerina dance.""<br>Cover portraits: Vaughn Monroe.<br>Copy 2 in folder.<BR>"			0	53	N	
405	My Belgian rose		"Benoit, George"	http://id.loc.gov/authorities/names/no2009011503	"Garton, Ted"	http://id.loc.gov/authorities/names/no97051225						Leo Feist	"New York, NY"	1918	English	"First line of text|Rose of Belgium, drooping so low."	For voice and piano.|War ed.|Cover portrait of Louise Glaum.|Pl. no.: 3912-2				"World War, 1914-1918--Songs and music|Songs with piano|Popular music--United States--1911-1920"	Sheet music 11						"For voice and piano.<br>War ed.<br>First line of text: ""Rose of Belgium, drooping so low.""<BR>Cover portrait of Louise Glaum.<br>Pl. no.: 3912-2<br>"	405_1.jpg		3	116	N	
			"Levenson, Robert, 1897-1961"	http://id.loc.gov/authorities/names/no2006087583																														
376	Taking a chance on love		"Duke, Vernon (Dukelsky, Vladimir Alexandrovich), 1903-1969"	http://id.loc.gov/authorities/names/n80125365	"LaTouche, John, 1917-1956"	http://id.loc.gov/authorities/names/n85173090						Leo. Feist	"New York, NY"	1940	English	First line of text|I thought love's game was over. :: First line of chorus|Here I go again.	"Caption title.|For voice and piano; includes chord symbols and diagrams.|At caption: Sung by Ethel Waters; from the M-G-M picture, Cabin in the sky.|Pl. no.: 7369-3"	Fred and Betsy Miller			Motion picture music--Excerpts--Vocal scores with piano|Popular music--1931-1940|Songs with piano	CSAM 54				Cabin in the Sky		"Pl. no.: 7369-3<br>For voice and piano; includes chord symbols and diagrams.<br>Caption title.<br>At caption: Sung by Ethel Waters; from the M-G-M picture, Cabin in the sky.<br>First line of text: I thought love's game was over.<br>First line of chorus: Here I go again."	376_1.jpg		4	584	N	
					"Fetter, Ted"	http://id.loc.gov/authorities/names/n2002070293																												
380	"You can have it, I don't want it"		"Hill, May, 1888-"	http://id.loc.gov/authorities/names/no2003016996	"Hill, May"	http://id.loc.gov/authorities/names/no2003016996						Williams & Piron Music Co.		1917	English	"First line of text|Honey, it's all off between us two."	"Caption title.|For voice and piano.|""As sung by Miss Lillian Teece""--Cover."	Fred and Betsy Miller			Popular music--United States--1911-1920|African Americans--Songs and music	CSAM 16			CSAM			"For voice and piano.<br>Caption title.<br>""As sung by Miss Lillian Teece""--Cover.<br>First line of text: Honey, it's all off between us two."	380_1.jpg		3	783	N	
			"Williams, Clarence, 1893-1965"	http://id.loc.gov/authorities/names/n82078500	"Williams, Clarence"	http://id.loc.gov/authorities/names/n82078500																												
			"Piron, Armand J., 1888-1943"	http://id.loc.gov/authorities/names/no96062630	"Piron, Armand J."	http://id.loc.gov/authorities/names/no96062630																												
382	De banjo am de instrument for me : song and chorus		"Rutledge, John T."	http://id.loc.gov/authorities/names/no95053942	"Rutledge, John T."	http://id.loc.gov/authorities/names/no95053942	W.				Roz?	F. Trifet	"Boston, MA"	1899	English	"First line of text|I likes de ole piano, an' I likes de fiddle too. :: First line of chorus|Let me hear de banjo for I loves its mellow strain."	"Cover title.|For voice with piano and chorus (SATB).|From the Boston journal of sheet music, no. 244 (Dec. 27, 1899)."	Fred and Betsy Miller			"Popular music--United States--To 1901|Choruses, Secular (Mixed voices, 4 parts) with piano|African Americans--Songs and music"	CSAM 46			CSAM			"For voice with piano and chorus (SATB).<br>Cover title.<br>From the Boston journal of sheet music, no. 244 (Dec. 27, 1899).<br>First line of text: I likes de ole piano, an' I likes de fiddle too.<br>First line of chorus: Let me hear de banjo for I loves its mellow strain."	382_1.jpg		4	100	N	
383	Ain't dat a shame		"Wilson, Walter"	http://id.loc.gov/authorities/names/no2013021853	"Queen, John"	http://id.loc.gov/authorities/names/no95004207						"Howley, Haviland, & Dresser"	"New York, NY"	1901	English	First line of text|One dark and stormy night. :: First line of chorus|Ain't dat a shame.	"Cover title.|For voice and piano.|Dedication: To my niece--Miss Goosie Hennessey.|""Sung with great success by Artie Hall""--Cover."	Fred and Betsy Miller			Minstrel music|Songs (Medium voice) with piano	CSAM 53			CSAM			"For voice and piano.<br>Cover title.<br>Dedication: To my niece--Miss Goosie Hennessey.<br>""Sung with great success by Artie Hall""--Cover.<br>First line of text: One dark and stormy night.<br>First line of chorus: Ain't dat a shame."	383_1.jpg		4	161	N	
384	When it's night time in Dixie land	Title on cover|When it's night time down in Dixieland.	"Berlin, Irving, 1888-1989"	http://id.loc.gov/authorities/names/n50026116	"Berlin, Irving, 1888-1989"	http://id.loc.gov/authorities/names/n50026116					Barbelle	"Waterson, Berlin, & Snyder"	"New York, NY"	1914	English	First line of text|Talk about your Arabian nights. :: First line of chorus|Nighttime down in Dixie land.	Caption title.|March for voice and piano.|Title on cover: When it's night time down in Dixieland.	Fred and Betsy Miller			African Americans--Songs and music|Southern States--Songs and music|Popular music--United States	CSAM 27			CSAM			"March for voice and piano.<br>Caption title.<br>Title on cover: When it's night time down in Dixieland.<br>First line of text: Talk about your Arabian nights.<br>First line of chorus: Nighttime down in Dixie land."	384_1.jpg		5	275	N	
